Feature,Value,N,fbeta,precision,recall
All,All,6513,0.7197020988490183,0.6660401002506265,0.7827687776141384
workclass,Self-emp-not-inc,498,0.6549295774647887,0.5535714285714286,0.8017241379310345
workclass,Private,4552,0.7185305240410588,0.6597222222222222,0.7888493475682088
workclass,Federal-gov,200,0.7248322147651006,0.782608695652174,0.675
workclass,Self-emp-inc,223,0.8339768339768341,0.8181818181818182,0.8503937007874016
workclass,Local-gov,399,0.7336244541484717,0.7368421052631579,0.7304347826086957
workclass,State-gov,286,0.704,0.6470588235294118,0.7719298245614035
workclass,?,351,0.5263157894736842,0.40540540540540543,0.75
workclass,Without-pay,3,1.0,1.0,1.0
workclass,Never-worked,1,1.0,1.0,1.0
education,Bachelors,1088,0.7995666305525462,0.803921568627451,0.7952586206896551
education,HS-grad,2104,0.4885496183206107,0.367816091954023,0.7272727272727273
education,Assoc-acdm,199,0.7741935483870969,0.75,0.8
education,Some-college,1438,0.6384615384615385,0.5845070422535211,0.7033898305084746
education,Assoc-voc,262,0.6511627906976744,0.6,0.711864406779661
education,Prof-school,121,0.9052631578947369,0.9662921348314607,0.8514851485148515
education,Masters,351,0.8600508905852416,0.8756476683937824,0.845
education,5th-6th,74,0.4,0.25,1.0
education,10th,185,0.6666666666666666,0.5,1.0
education,Doctorate,78,0.8688524590163934,0.8833333333333333,0.8548387096774194
education,11th,240,0.33333333333333337,0.2,1.0
education,7th-8th,143,0.2,0.125,0.5
education,12th,99,0.6,0.42857142857142855,1.0
education,9th,90,0.4,0.25,1.0
education,1st-4th,28,0.0,0.0,1.0
education,Preschool,13,1.0,1.0,1.0
marital-status,Married-civ-spouse,2950,0.7423076923076922,0.7121771217712177,0.7751004016064257
marital-status,Never-married,2127,0.5906040268456376,0.44,0.8979591836734694
marital-status,Divorced,924,0.4827586206896552,0.33980582524271846,0.8333333333333334
marital-status,Widowed,229,0.64,0.5,0.8888888888888888
marital-status,Separated,191,0.75,0.6428571428571429,0.9
marital-status,Married-spouse-absent,86,0.5,0.3333333333333333,1.0
marital-status,Married-AF-spouse,6,0.0,0.0,0.0
occupation,Craft-repair,813,0.5384615384615384,0.4,0.8235294117647058
occupation,Other-service,660,0.33333333333333337,0.20588235294117646,0.875
occupation,Prof-specialty,821,0.8253164556962026,0.8534031413612565,0.7990196078431373
occupation,Sales,735,0.7512953367875648,0.7323232323232324,0.7712765957446809
occupation,Exec-managerial,785,0.8142493638676845,0.8268733850129198,0.8020050125313283
occupation,Adm-clerical,764,0.5960264900662251,0.5421686746987951,0.6617647058823529
occupation,Farming-fishing,210,0.3846153846153846,0.2631578947368421,0.7142857142857143
occupation,Machine-op-inspct,380,0.463768115942029,0.3333333333333333,0.7619047619047619
occupation,Transport-moving,345,0.4423076923076923,0.3108108108108108,0.7666666666666667
occupation,Tech-support,208,0.7407407407407408,0.7575757575757576,0.7246376811594203
occupation,Handlers-cleaners,286,0.25,0.16666666666666666,0.5
occupation,Protective-serv,126,0.6666666666666665,0.6,0.75
occupation,?,352,0.5263157894736842,0.40540540540540543,0.75
occupation,Armed-Forces,1,1.0,1.0,1.0
occupation,Priv-house-serv,27,1.0,1.0,1.0
relationship,Husband,2593,0.7514099783080259,0.7228714524207012,0.7822944896115628
relationship,Not-in-family,1682,0.5895522388059701,0.4388888888888889,0.8977272727272727
